,title,description,publishedAt
122,Ex-Trump campaign aide: the President's reelection bid is working against 'free speech and democracy' - CNNPolitics,"A former Trump campaign official excoriated President Donald Trump's reelection bid Wednesday, insisting that his team has ""worked very much against free speech and democracy.""",2020-10-29
123,"North Carolina can count votes received 9 days after Election Day, Supreme Court rules - CNNPolitics","The Supreme Court allowed the counting of ballots in North Carolina received up to nine days after the election as long as the ballots are postmarked by Election Day, a victory for Democrats in another key state.",2020-10-29
124,Breonna Taylor's mother asks for independent prosecutor to present case to a new grand jury - CNN,"Breonna Taylor's mother is asking the Kentucky Prosecutors Advisory Council to appoint an independent prosecutor to present the case of her daughter's death before a new grand jury, saying the state attorney general's handling of the case ""undermines the trust and integrity of the entire process.""",2020-10-29
125,"Rodney Smith Jr., who travels the US mowing lawns for people in need, says his immigration status is in jeopardy  - CNN","He's traveled the United States nine times helping others, but now his ability to stay in the country is in jeopardy. ",2020-10-29
126,Ex-Trump campaign aide: the President's reelection bid is working against 'free speech and democracy' - CNNPolitics,"A former Trump campaign official excoriated President Donald Trump's reelection bid Wednesday, insisting that his team has ""worked very much against free speech and democracy.""",2020-10-29
127,"North Carolina can count votes received 9 days after Election Day, Supreme Court rules - CNNPolitics","The Supreme Court allowed the counting of ballots in North Carolina received up to nine days after the election as long as the ballots are postmarked by Election Day, a victory for Democrats in another key state.",2020-10-29
128,"Rodney Smith Jr., who travels the US mowing lawns for people in need, says his immigration status is in jeopardy  - CNN","He's traveled the United States nine times helping others, but now his ability to stay in the country is in jeopardy. ",2020-10-29
129,Breonna Taylor's mother asks for independent prosecutor to present case to a new grand jury - CNN,"Breonna Taylor's mother is asking the Kentucky Prosecutors Advisory Council to appoint an independent prosecutor to present the case of her daughter's death before a new grand jury, saying the state attorney general's handling of the case ""undermines the trust and integrity of the entire process.""",2020-10-29
130,US election 2020: What India thinks of the US election (opinion) - CNN,"Narendra Modi has gone out of his way to woo Donald Trump in order to soften the hard edges of his trade and immigration policies, writes Pramit Pal Chaudhuri. But that doesn't mean the Indian prime minister will be disappointed if Trump loses the White House.  ",2020-10-29
131,"How do we cope with Halloween, a full moon, time change all just before the election - CNN","Daylight saving time, a full moon and Halloween will all fall on Saturday night, three days before Election Day. It could all be hocus-pocus, but acknowledging the supernatural during a time of rapid change could help us feel a sense of order.",2020-10-29
132,What to watch for in Senate races across the country - CNN Video,"CNN's Phil Mattingly looks at states with tight Senate races, as Democrats hope to turn the Senate chamber blue in the 2020 election.",2020-10-29
133,Covid-19 is getting more attention over Donald Trump's and Joe Biden's campaigns - CNN Video,"With the 2020 presidential election days away, CNN's John King examines the state of the race in Arizona, Michigan and Wisconsin -- three key states for both Joe Biden and President Donald Trump.",2020-10-29
134,"Trump bet against science, and voters are casting judgment - CNNPolitics","The failed bet laid by President Donald Trump to ignore science and prioritize his political goals early in the pandemic, revealed Wednesday in fresh detail by new Jared Kushner tapes, is backfiring in devastating fashion at the critical moment of his reelection bid.",2020-10-29
135,What to watch for in Senate races across the country - CNN Video,"CNN's Phil Mattingly looks at states with tight Senate races, as Democrats hope to turn the Senate chamber blue in the 2020 election.",2020-10-29
136,How coronavirus is sinking Trump's election hopes - CNNPolitics,"I have long argued that coronavirus was the only election issue that really mattered. History tells us that when a non-economic issue is topping the list of the nation's problems in a presidential election year, then the candidate who is trusted most on that issue almost always wins.",2020-10-29
137,CNN exclusive: Four families connected by pain are hoping to use their influence to get out the vote - CNN,"If Breonna Taylor were alive today, she would have been at the polls.",2020-10-29
138,CNN exclusive: Four families connected by pain are hoping to use their influence to get out the vote - CNN,"If Breonna Taylor were alive today, she would have been at the polls.",2020-10-29
139,Opinion: Why Trump still appeals to Texas conservatives - CNN,Chris Salcedo writes that Texas conservatives are sticking with Trump because of their desire to preserve all liberties and freedoms guaranteed under the Constitution and because they believe a small and limited federal government.,2020-10-29
140,How coronavirus is sinking Trump's election hopes - CNNPolitics,"I have long argued that coronavirus was the only election issue that really mattered. History tells us that when a non-economic issue is topping the list of the nation's problems in a presidential election year, then the candidate who is trusted most on that issue almost always wins.",2020-10-29
141,Voting photos: A state-by-state guide to taking selfies when you vote,"Before you snap a ballot selfie, you should know that in some states taking photos of any kind at polling places is illegal. Here’s a rundown of every state’s laws and recommendations when it comes to voting photos.",2020-10-29
142,Homeland Security officials echo Trump's campaign border wall rhetoric days before election - CNNPolitics,"Acting Homeland Security Secretary Chad Wolf, flanked by several senior department officials, hyped the administration's efforts to construct hundreds of miles of wall along the US-Mexico border while lavishing praise on President Donald Trump less than a week before Election Day. ",2020-10-29
